title,url,description,genres
NCIS: Sydney,https://www.metacritic.com/tv/ncis-sydney/,"NCIS Special Agent Michelle Mackey (Olivia Swann) leads her team that includes: Australian Federal Police's Jim ""JD"" Dempsey (Todd Lasance), DeShawn Jackson (Sean Sagar), Australian Federal Police Constable Liaison Officer Evie Cooper (Tuuli Narkle) as well as Bluebird ""Blue"" Gleeson (Mavournee Hazel) and Roy Penrose (William McInnesa) i...","['Crime', 'Drama', '', '', 'Crime', 'Drama']"
A Murder at the End of the World,https://www.metacritic.com/tv/a-murder-at-the-end-of-the-world/,Amateur detective Darby Hart (Emma Corrin) seeks to find the killer after one of the guests at an isolated retreat is murdered in this limited series created by Brit Marling and Zal Batmanglij.,"['Drama', 'Mystery', 'Thriller', '', '', '', 'Drama', 'Mystery', 'Thriller']"
Beacon 23,https://www.metacritic.com/tv/beacon-23/,Halan (Stephan James) has been living by himself in an AI-controlled beacon at the edge of the universe when Aster (Lena Headey) arrives in this thriller series based on by Hugh Howey's book of the same name.,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller', '', '', '', '', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
The Curse (2023),https://www.metacritic.com/tv/the-curse-2023/,"A newly married couple (Emma Stone and Nathan Fielder) are dealing with a possible curse, while hosting a home improvement show and trying to have a baby in this series co-created by Benny Safdie and Fielder. [Premieres on Paramount+ with Showtime on 10 Nov 2023 and on Showtime on 12 Nov 2023]","['Comedy', 'Drama', 'Thriller', '', '', '', 'Comedy', 'Drama', 'Thriller']"
007: Road to a Million,https://www.metacritic.com/tv/007-road-to-a-million/,"Nine teams of two travel around the world, facing physical and mental challenges to locate 10 questions hidden by ""The Controller"" (Brian Cox) that when answered correctly are keys to winning the £1,000,000 grand prize.","['Adventure', 'Game-Show', 'Reality-TV', '', '', '', 'Adventure', 'Game-Show', 'Reality-TV']"
Colin From Accounts,https://www.metacritic.com/tv/colin-from-accounts/,"Medical student Ashley (Harriet Dyer) and microbrewer Gordon (Patrick Brammall) end up living together after a car accident involving a dog in the Australian comedy written by Brammall and Dyer. [Premiered originally in Australia on Binge on 1 Dec 2022, in the UK on BBC Two on 11 Apr 2023 and in the US on Paramount+ on 9 Nov 2023]","['Comedy', '', 'Comedy']"
Robbie Williams,https://www.metacritic.com/tv/robbie-williams/,The four-part documentary series covers the life and career of Robbie Williams that began at 16-years-old as a member Take That to his current life as father and solo artist.,"['Documentary', 'Biography', 'Music', '', '', '', 'Documentary', 'Biography', 'Music']"
Escaping Twin Flames,https://www.metacritic.com/tv/escaping-twin-flames/,The three-part docuseries from Cecilia Peck and Inbal B. Lessner about Twin Flames [Prime Video's Desperately Seeking Soulmate: Escaping Twin Flames was released in October] features interviews from former members.,"['Documentary', '', 'Documentary']"
The Buccaneers (2023),https://www.metacritic.com/tv/the-buccaneers-2023/,"The newest adaptation of Edith Wharton's unfinished novel of the same name from Katherine Jakeways follows a group of wealthy young American heiresses (Alisha Boe, Kristine Frøseth, Aubi Ibrag, Josie Totah, and Imogen Waterhouse) as they seek husbands at London's debutante season during the 1870s.","['Drama', '', 'Drama']"
Lawmen: Bass Reeves,https://www.metacritic.com/tv/lawmen-bass-reeves/,The anthology drama series created by Chad Feehan spans the life of Bass Reeves (David Oyelowo) from enslavement to becoming first Black U.S. Marshal west of the Mississippi.,"['Drama', 'Western', '', '', 'Drama', 'Western']"
JFK: One Day in America,https://www.metacritic.com/tv/jfk-one-day-in-america/,The three-part series about John F. Kennedy assassination and the search and arrest of Lee Harvey Oswald features archival footage and interviews with those who were there and the co-worker of Oswald.,"['Documentary', 'History', '', '', 'Documentary', 'History']"
Planet Earth III,https://www.metacritic.com/tv/planet-earth-iii/,David Attenborough narrates the third Planet Earth documentary series that was filmed over five years. [Premiered originally in the UK on 22 Oct 2023 on BBC1 and in the US on BBC America and AMC+ on 4 Nov 2023],"['Documentary', '', 'Documentary']"
Blue Eye Samurai,https://www.metacritic.com/tv/blue-eye-samurai/,"Set in 17th-century Edo-period Japan, a mixed-race samurai named Mizu (voiced by Maya Erskine) seeks revenge in this animated series created by Michael Green and Amber Noizumi.","['Animation', 'Action', 'Adventure', 'Drama', 'History', 'Thriller', '', '', '', '', '', '', 'Animation', 'Action', 'Adventure', 'Drama', 'History', 'Thriller']"
All the Light We Cannot See,https://www.metacritic.com/tv/all-the-light-we-cannot-see/,"During World War II, the journeys of blind French teenager Marie-Laure LeBlanc (Aria Mia Loberti) and German soldier Werner Pfennig (Louis Hofmann) cross in Shawn Levy's four-part limited series based on Anthony Doerr's novel of the same name.","['Drama', 'History', 'War', '', '', '', 'Drama', 'History', 'War']"
This England,https://www.metacritic.com/tv/this-england/,Newly appointed Prime Minister Boris Johnson (Kenneth Branagh) and the British government's response to the COVID-19 pandemic is at the center of this six-part limited series written by Michael Winterbottom and Kieron Quirke. [Premiered originally in the UK on Sky Atlantic on 28 Sep 2022 and in the US on BritBox on 1 Nov 2023],"['Biography', 'Drama', 'History', '', '', '', 'Biography', 'Drama', 'History']"
Black Cake,https://www.metacritic.com/tv/black-cake/,Eleanor Bennett (Chipo Chung) leaves her two estranged children (Ashley Thomas & Adrienne Warren) a flash drive revealing secrets from her past in this adaptation of Charmaine Wilkerson's novel of the same name.,"['Drama', 'History', 'Mystery', 'Thriller', '', '', '', '', 'Drama', 'History', 'Mystery', 'Thriller']"
Love Island Games,https://www.metacritic.com/tv/love-island-games/,The spinoff of Love Island hosted by Maya Jama and narrated by Iain Stirling features fan-favorites from a number of Love Island series across the world looking for another chance for love.,"['Reality-TV', '', 'Reality-TV']"
Mayflies,https://www.metacritic.com/tv/mayflies/,"Suffering from terminal cancer, Tully (Tony Curran) asks his best friend Jimmy ""Noodles"" (Martin Compston) to help him on his secret final trip to Switzerland in Andrea Gibb's adaptation of Andrew O'Hagan's novel of the same name. [Premiered originally in the UK on BBC One on 28 Dec 2022 and to air in the US on Acorn TV on 30 Oct 2023...","['Drama', '', 'Drama']"
Fellow Travelers,https://www.metacritic.com/tv/fellow-travelers/,"The romance between Hawkins ""Hawk"" Fuller (Matt Bomer) and Tim Laughlin (Jonathan Bailey) begins in secret in 1950s Washington and spans four decades in this limited series based on Ron Nyswaner's adaptation of Thomas Mallon's novel of the same name.","['Drama', 'Romance', '', '', 'Drama', 'Romance']"
The Enfield Poltergeist,https://www.metacritic.com/tv/the-enfield-poltergeist/,The four-part docuseries looks into the paranormal events in 1977 that inspired the story to The Conjuring 2 with recreations featuring the original audio recordings and interviews.,"['Documentary', 'Horror', '', '', 'Documentary', 'Horror']"
Everyone Else Burns,https://www.metacritic.com/tv/everyone-else-burns/,"The British sitcom focuses on a Manchester, England family led by David Lewis (Simon Bird) that are part of the apocalyptic religious sect in this British sitcom. [Premiered originally in the Uk on Channel 4 on 23 Jan 2023 and in the US on The CW on 26 Oct 2023]","['Comedy', '', 'Comedy']"
The Vanishing Triangle,https://www.metacritic.com/tv/the-vanishing-triangle/,Journalist Lisa Wallace (India Mullen) teams up with Detective David Burkely (Allen Leech) after her article about her mother's murder is linked to the disappearance Amy Reynolds in the Irish crime drama series created by Ivan Kavanagh and loosely based on real events in 1990s Ireland.,"['Drama', 'Mystery', 'Thriller', '', '', '', 'Drama', 'Mystery', 'Thriller']"
PLUTO,https://www.metacritic.com/tv/pluto/,Inspector Gesicht investigate the murder of robots and their human associates in the anime series based the manga of the same name by Naoki Urasawa and Takashi Nagasaki (which itself was based on Osamu Tezuka's Astro Boy).,"['Animation', 'Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller', '', '', '', '', '', '', 'Animation', 'Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Life on Our Planet,https://www.metacritic.com/tv/life-on-our-planet/,"With help from Industrial Light & Magic, the eight-part documentary series narrated by Morgan Freeman shows the creatures that once roamed the Earth billions of years ago.","['Documentary', '', 'Documentary']"
Get Gotti,https://www.metacritic.com/tv/get-gotti/,"The three-part documentary series about the eventual conviction of mob boss John Gotti features archival footage, audio tapes and interviews with former mobsters, reporters, FBI agents, and prosecutors.","['Documentary', 'Crime', '', '', 'Documentary', 'Crime']"
Bodies (2023),https://www.metacritic.com/tv/bodies-2023/,"London detective sergeant Shahara Hasan (Amaka Okafor) discovers a body on Longharvest Lane. The same body is also found by a detective (Jacob Fortune-Lloyd) in 1941, a detective (Kyle Soller) in 1890, and a detective (Shira Haas) in 2053 in this sci-fi mystery series based on the graphic novel of the same name by Si Spencer.","['Crime', 'Drama', 'History', 'Sci-Fi', 'Thriller', '', '', '', '', '', 'Crime', 'Drama', 'History', 'Sci-Fi', 'Thriller']"
Scavengers Reign,https://www.metacritic.com/tv/scavengers-reign/,A crew of a damaged interstellar freight ship are marooned on the strange but beautiful planet in the sci-fi animated series that expands on Joseph Bennett and Charles Huettner's 2016 short Scavengers.,"['Animation', 'Adventure', 'Drama', 'Sci-Fi', '', '', '', '', 'Animation', 'Adventure', 'Drama', 'Sci-Fi']"
Payback,https://www.metacritic.com/tv/payback/,Lexie Noble (Morven Christie) discovers her husband (Thoren Ferguson) was laundering money for mob boss Cal Morris (Peter Mullan) in this crime drama created by Debbie O'Malley. Premiered originally in the UK on ITV on 4 Oct 2023 and in the US on BritBox on 19 Oct 2023],"['Crime', 'Drama', 'Thriller', '', '', '', 'Crime', 'Drama', 'Thriller']"
Neon,https://www.metacritic.com/tv/neon/,Santi (Tyler Dean Flores) moves to Miami with his best friends Ness (Emma Ferrerira) and Felix (Jordan Mendoza) to pursue his dream to become a reggaeton star in this comedy series from creator Shea Serrano.,"['Comedy', 'Music', '', '', 'Comedy', 'Music']"
Living for the Dead,https://www.metacritic.com/tv/living-for-the-dead/,"Juju Bae, Ken Boggle, Roz Hernandez, Alex LeMay and Logan Taylor are five queer ghost hunters who travel across the country to investigate haunted places in this reality series narrated by Kristen Stewart.","['Documentary', 'Horror', 'Reality-TV', '', '', '', 'Documentary', 'Horror', 'Reality-TV']"
Coleen Rooney: The Real Wagatha Story,https://www.metacritic.com/tv/coleen-rooney-the-real-wagatha-story/,The three-part documentary about how British TV personality Coleen Rooney discovered someone on her Instagram was leaking private information to the tabloids.,"['Documentary', 'Sport', '', '', 'Documentary', 'Sport']"
Crush (2023),https://www.metacritic.com/tv/crush-2023/,The two-part documentary looking into the October 2022 night in Seoul where over 150 people died in a crowd crush features interviews with survivors and cell-phone video footage.,"['Documentary', '', 'Documentary']"
The American Buffalo,https://www.metacritic.com/tv/the-american-buffalo/,The two-part documentary directed by Ken Burns about the history and impact of the buffalo on America and the Indigenous people in North America.,"['Documentary', 'History', '', '', 'Documentary', 'History']"
Raid the Cage,https://www.metacritic.com/tv/raid-the-cage/,Jeannie Mai Jenkins and Damon Wayans Jr. co-host the game show where two teams compete to correctly answer trivia to add time to the clock so their teammates can grab prizes from the cage before the doors close.,"['Game-Show', '', 'Game-Show']"
John Carpenter's Suburban Screams,https://www.metacritic.com/tv/john-carpenters-suburban-screams/,"The anthology series from John Carpenter features true, but frightening stories with the real people who experienced them, as well as reenactments, and archival footage.","['Horror', '', 'Horror']"
Goosebumps (2023),https://www.metacritic.com/tv/goosebumps-2023/,"Five high schoolers (Zack Morris, Isa Briones, Miles McKenna, Ana Yi Puig and Will Price) investigation into the death of Harold Biddle 30 years ago turns up secrets of their own parents in the new anthology series based on R.L. Stine's books.","['Adventure', 'Comedy', 'Fantasy', 'Horror', '', '', '', '', 'Adventure', 'Comedy', 'Fantasy', 'Horror']"
Lessons in Chemistry,https://www.metacritic.com/tv/lessons-in-chemistry/,"Set in the 1950s, after chemist Elizabeth Zott (Brie Larson) is fired from her lab, she takes a job as a host on a TV cooking show in this series based on novel of the same name by Bonnie Garmus.","['Drama', '', 'Drama']"
Frasier (2023),https://www.metacritic.com/tv/frasier-2023/,"Dr. Frasier Crane (Kelsey Grammer) moves to Boston, where he sees familiar faces, makes new friends in Boston and seeks to reconnect with his son Freddy (Jack Cutmore-Scott) in the revival of the NBC comedy series.","['Comedy', '', 'Comedy']"
House of Villains,https://www.metacritic.com/tv/house-of-villains/,"10 ""villains"" from reality series participate in challenges to win a $200,000 cash prize and the title of ""America’s Ultimate Supervillain.""","['Game-Show', 'Reality-TV', '', '', 'Game-Show', 'Reality-TV']"
The Fall of the House of Usher,https://www.metacritic.com/tv/the-fall-of-the-house-of-usher/,CEO Roderick Usher (Bruce Greenwood) must face his past when his children begin to die mysterious and violent ways in Mike Flanagan's adaptation of Edgar Allan Poe's short story of the same name.,"['Drama', 'Horror', 'Mystery', '', '', '', 'Drama', 'Horror', 'Mystery']"
Little Bird,https://www.metacritic.com/tv/little-bird/,"Five-year-old Bezhig Little Bird was adopted into a Montréal Jewish family and given the name Esther Rosenblum. In her 20s, her identity is shaken when she discovers she was one of many Native children forcibly removed through a government policy known as the Sixties Scoop in this limited series created by Jennifer Podemski and Hannah Mo...","['Drama', '', 'Drama']"
Messi Meets America,https://www.metacritic.com/tv/messi-meets-america/,The six-part documentary series promises a behind-the-scenes look at Lionel Messi as he begins playing for Major League Soccer and Inter Miami CF.,"['Documentary', '', 'Documentary']"
Painkiller: The Tylenol Murders,https://www.metacritic.com/tv/painkiller-the-tylenol-murders/,The five-part documentary series featuring archival footage and interviews with investigators and family members looks into how in 1972 Tylenol laced with cyanide killed seven people in Chicago.,"['Documentary', 'Crime', '', '', 'Documentary', 'Crime']"
Desperately Seeking Soulmate: Escaping Twin Flames,https://www.metacritic.com/tv/desperately-seeking-soulmate-escaping-twin-flames/,"The three-part documentary series based on Alice Hines' investigation into the Twin Flames Universe, an online group formed by Jeff and Shaleia Divine that promised to help members find their ""twin flame"" with classes that allegedly encouraged extreme behaviors.","['Documentary', '', 'Documentary']"
Bargain,https://www.metacritic.com/tv/bargain/,"At a hotel, No Hyung-soo (Jin Sun-kyu) pays Joo Young (Jun Jong-seo) for sex, but instead finds himself being part of a black-market organ auction. An earthquake traps everyone and everyone must fight to survival in this South Korean thriller based on Lee Chung-hyun's award-winning short film of the same name.","['Drama', 'Thriller', '', '', 'Drama', 'Thriller']"
Everything Now,https://www.metacritic.com/tv/everything-now/,"After a stay in a hospital for anorexia, 17-year-old Mia (Sophie Wilde) creates a bucket list of things she wants to experience in this British coming-of-age series.","['Comedy', 'Drama', '', '', 'Comedy', 'Drama']"
Sullivan's Crossing,https://www.metacritic.com/tv/sullivans-crossing/,Neurosurgeon Maggie Sullivan (Morgan Kohan) returns home to Sullivan's Crossing where her estranged father (Scott Patterson) still lives at and meets Cal Jones (Chad Micheal Murray) in this Canadian series based on the Robyn Carr novels. [Premiered originally in Canada on CTV on 23 Mar 2023 and in the US on The CW on 4 Oct 2023],"['Drama', '', 'Drama']"
Beckham,https://www.metacritic.com/tv/beckham/,The four-part documentary series from Fisher Stevens about David Beckham's rise from working-class east London to international fame.,"['Documentary', 'Biography', 'Sport', '', '', '', 'Documentary', 'Biography', 'Sport']"
The Spencer Sisters,https://www.metacritic.com/tv/the-spencer-sisters/,"Often mistaken as sisters, mystery novelist Victoria Spencer (Lea Thompson) and her daughter Darby (Stacey Farber) open a private detective agency in this Canadian drama series. [Premiered originally in Canada on CTV on 29 Jan 2023 and in the US on The CW on 4 Oct 2023]","['Comedy', 'Crime', 'Drama', 'Mystery', '', '', '', '', 'Comedy', 'Crime', 'Drama', 'Mystery']"
Found,https://www.metacritic.com/tv/found/,Public relations specialist Gabi Mosely (Shanola Hampton) and her team locate missing people in this drama series written by Nkechi Okoro Carroll.,"['Drama', '', 'Drama']"
